State,CityName,population2010,cityfips,bingedrinking,smokingrate,nophysicalactivity,obesityrate,sleepdeprivation
PA,Philadelphia,1526006,4260000,17.5,25.5,29.0,33.9,44.3
PA,Pittsburgh,305704,4261000,18.9,23.1,24.6,33.1,40.5
SC,Charleston,120083,4513330,19.9,17.4,19.4,28.0,34.7
SC,Columbia,129272,4516000,15.9,20.3,24.9,34.4,40.9
SD,Rapid City,67956,4652980,17.9,22.1,20.3,28.1,28.6
TN,Chattanooga,167674,4714000,11.0,24.1,29.2,35.1,38.1
TN,Knoxville,178874,4740000,10.8,25.4,27.7,32.4,39.0
TN,Memphis,646889,4748000,9.6,24.4,31.6,36.3,39.8
TN,Nashville,601222,4752006,12.3,22.6,26.7,31.1,36.3
TX,Amarillo,190695,4803000,16.5,18.5,27.9,32.0,32.9
TX,Austin,790390,4805000,18.9,13.2,21.4,26.0,29.0
TX,Corpus Christi,305215,4817000,17.0,17.7,29.0,37.3,35.4
TX,El Paso,649121,4824000,16.3,15.6,29.0,35.5,34.0
TX,Houston,2099451,4835000,14.9,16.4,29.7,33.9,36.0
TX,Laredo,236091,4841464,13.6,16.9,37.6,38.6,33.3
TX,Lubbock,229573,4845000,16.3,18.2,27.8,33.0,33.5
TX,San Angelo,93200,4864472,16.8,18.7,28.7,34.2,33.5
TX,San Antonio,1327407,4865000,15.7,15.2,29.5,32.9,36.8
UT,Salt Lake City,186440,4967000,11.6,11.2,19.0,28.2,32.0
WA,Spokane,208916,5367000,18.5,19.6,19.7,32.6,32.9
WI,Madison,233209,5548000,22.7,14.0,17.7,27.5,30.3
WI,Milwaukee,594833,5553000,19.8,23.7,28.6,39.0,40.8
